"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
740,"1","2024-03-31T03:27:11.062572Z",2206,"[{""start"":0,""end"":4,""text"":""桃黑斑病"",""labels"":[""Disease""]},{""start"":27,""end"":28,""text"":"""",""labels"":[""Crops""]},{""start"":131,""end"":138,""text"":""圆丘形或圆锥形"",""labels"":[""Symptom""]},{""start"":372,""end"":376,""text"":""非密植树"",""labels"":[""Condition""]},{""start"":238,""end"":242,""text"":""褐色病斑"",""labels"":[""Symptom""]},{""start"":245,""end"":250,""text"":""不明显轮纹"",""labels"":[""Symptom""]},{""start"":257,""end"":262,""text"":""黑色霉状物"",""labels"":[""Symptom""]},{""start"":265,""end"":273,""text"":""病斑表面呈粉红色"",""labels"":[""Symptom""]},{""start"":285,""end"":291,""text"":""乳头状畸形尖"",""labels"":[""Symptom""]},{""start"":172,""end"":176,""text"":""黄色晕圈"",""labels"":[""Symptom""]},{""start"":204,""end"":212,""text"":""乳突状由绿变黄绿"",""labels"":[""Symptom""]},{""start"":106,""end"":113,""text"":""形成乳头状突起"",""labels"":[""Symptom""]},{""start"":5,""end"":21,""text"":""Peach black spot"",""labels"":[""English""]}]",163.48399999999998,"桃黑斑病	Peach black spot	桃黑斑病对桃的产量和品质有较大的影响。特别是初期具有红尖症状的病桃，常被误认为是好桃，装箱后病斑发展很快变成黑斑并引起腐烂。	主要为害果实，分3个阶段。(1)初期。果尖形成乳头状突起，最大可达1.5～2cm，也可以形成圆丘形或圆锥形。(2)中期。桃尖以后产生稀疏红点，形成红尖，而且红尖的下部往往有一黄色晕圈。红点密度逐渐增大，便形成红斑，果农称之为“红嘴”。有时乳突状由绿变黄绿，形成黄绿色的桃尖。(3)末期。桃尖组织坏死后，形成褐色病斑，并有不明显轮纹，其上很快产生黑色霉状物，后期病斑表面呈粉红色。有的病桃症状表现较晚，乳头状畸形尖、黄尖，红点，红斑，水渍状等症状，可保持到采收，但是在采收后继续发展，最后仍形成黑斑。	(1)气候因素。一般在雨后4～15天左右发病重。(2)密度。密植树发病轻，非密植树发病重，但树冠上部的病情并无明显差异。(3)树体。成龄树发病重，树体上部病果较多。","2024-03-31T03:27:11.062572Z"
741,"1","2024-03-31T03:28:14.469227Z",2207,"[{""start"":0,""end"":4,""text"":""桃溃疡病"",""labels"":[""Disease""]},{""start"":5,""end"":33,""text"":""Peach Cylindrocladium canker"",""labels"":[""English""]},{""start"":39,""end"":44,""text"":""病斑稍肿胀"",""labels"":[""Symptom""]},{""start"":50,""end"":53,""text"":""稍凹陷"",""labels"":[""Symptom""]},{""start"":59,""end"":65,""text"":""馒头似地肿胀"",""labels"":[""Symptom""]},{""start"":74,""end"":79,""text"":""卷曲的孢子"",""labels"":[""Symptom""]},{""start"":84,""end"":88,""text"":""呈茶褐色"",""labels"":[""Symptom""]},{""start"":123,""end"":127,""text"":""伤口较多"",""labels"":[""Condition""]},{""start"":135,""end"":139,""text"":""地面阴湿"",""labels"":[""Condition""]},{""start"":103,""end"":108,""text"":""阴雨天较多"",""labels"":[""Condition""]}]",63.171,"桃溃疡病	Peach Cylindrocladium canker		枝干初期病斑稍肿胀，变褐色，后稍凹陷，病皮组织像馒头似地肿胀。雨天后射出丝状、卷曲的孢子角，干燥后呈茶褐色。	""(1)气候因素：近成熟期阴雨天较多的年份发病重。(2)栽培因素：伤口较多、立地位置较低、地面阴湿的园片病果率高。(3)树体：树冠内膛枝组及下部近地面的裙枝病果较多。""","2024-03-31T03:28:14.469227Z"
742,"1","2024-03-31T03:30:28.874351Z",2208,"[{""start"":0,""end"":4,""text"":""桃疫腐病"",""labels"":[""Disease""]},{""start"":5,""end"":21,""text"":"" "",""labels"":[""English""]},{""start"":76,""end"":78,""text"":"""",""labels"":[""Part""]},{""start"":152,""end"":154,""text"":"""",""labels"":[""Part""]},{""start"":216,""end"":218,""text"":"""",""labels"":[""Part""]},{""start"":232,""end"":234,""text"":"""",""labels"":[""Part""]},{""start"":355,""end"":358,""text"":"""",""labels"":[""Condition""]},{""start"":359,""end"":363,""text"":"""",""labels"":[""Condition""]},{""start"":378,""end"":382,""text"":"""",""labels"":[""Condition""]},{""start"":383,""end"":387,""text"":"""",""labels"":[""Condition""]},{""start"":414,""end"":419,""text"":"""",""labels"":[""Condition""]},{""start"":95,""end"":104,""text"":"""",""labels"":[""Symptom""]},{""start"":107,""end"":113,""text"":"""",""labels"":[""Symptom""]},{""start"":155,""end"":159,""text"":"""",""labels"":[""Symptom""]},{""start"":170,""end"":176,""text"":"""",""labels"":[""Symptom""]},{""start"":177,""end"":182,""text"":"""",""labels"":[""Symptom""]},{""start"":219,""end"":223,""text"":"""",""labels"":[""Symptom""]},{""start"":235,""end"":238,""text"":"""",""labels"":[""Symptom""]},{""start"":264,""end"":274,""text"":"""",""labels"":[""Symptom""]}]",135.63799999999998,"桃疫腐病	Peach collar rot	桃疫腐病。主要病害。为害树干和果实，随着桃园面积的扩大及田间病源的积累，该病发生有逐年加重的趋势。	""(1)枝干：在幼树主干基部近地面5cm左右有圆形或不规则形病斑，病部树皮呈黑褐色，皮层组织坏死、干缩凹陷、变硬。当根颈部皮层腐烂一圈时，地上部枝干枯死。(2)叶片：叶片窄小，生长不良，后期产生不规则的灰褐色或暗褐色病斑，水渍状，多从叶边缘或中部发生，潮湿时病斑迅速扩展使全叶腐烂。(3)花器：花期提前，花色较深。(4)果实：病果小，初期产生淡褐色斑点，边缘不清晰，扩大后病斑不规则，呈深浅不均的暗红褐色，边缘呈水渍状。有时病斑部分表皮与果肉分离，外表似。白蜡皮。状，病斑扩及全果时果形不变，病果裂缝和病组织空隙处生出白色毛状的菌丝体。发生规律""	""(1)环境因素：春雨多、降雨频繁的年份发病重。(2)栽培因素：土壤黏重、排水不良的桃园发病重。在菜田建园，发病重，树势衰弱及耕作时造成机械伤口多的桃树发病重。""","2024-03-31T03:30:38.627004Z"
743,"1","2024-03-31T03:34:40.034811Z",2209,"[{""start"":0,""end"":4,""text"":""桃炭疽病"",""labels"":[""Disease""]},{""start"":5,""end"":22,""text"":""Peach anthracnose"",""labels"":[""English""]},{""start"":115,""end"":117,""text"":""枝干"",""labels"":[""Part""]},{""start"":200,""end"":202,""text"":""叶片"",""labels"":[""Part""]},{""start"":281,""end"":283,""text"":""果实"",""labels"":[""Part""]},{""start"":122,""end"":126,""text"":""长椭圆形"",""labels"":[""Symptom""]},{""start"":127,""end"":130,""text"":""暗绿色"",""labels"":[""Symptom""]},{""start"":131,""end"":134,""text"":""水渍状"",""labels"":[""Symptom""]},{""start"":142,""end"":148,""text"":""边缘带红褐色"",""labels"":[""Symptom""]},{""start"":222,""end"":227,""text"":""卷曲成管状"",""labels"":[""Symptom""]},{""start"":230,""end"":238,""text"":""近圆形或不规则形"",""labels"":[""Symptom""]},{""start"":249,""end"":256,""text"":""灰褐色或灰白色"",""labels"":[""Symptom""]},{""start"":262,""end"":268,""text"":""黑色的小粒点"",""labels"":[""Symptom""]},{""start"":313,""end"":321,""text"":""淡褐色水渍状斑点"",""labels"":[""Symptom""]},{""start"":332,""end"":338,""text"":""圆形或椭圆形"",""labels"":[""Symptom""]},{""start"":401,""end"":405,""text"":""低温多雨"",""labels"":[""Condition""]},{""start"":452,""end"":456,""text"":""种植过密"",""labels"":[""Condition""]},{""start"":447,""end"":451,""text"":""生长过旺"",""labels"":[""Condition""]}]",248.321,"桃炭疽病	Peach anthracnose	桃炭疽病分布广泛，尤以江淮流域桃区发生较重，是桃树的重要病害。直接影响桃产量和品质，部分品种发病后还引起大量的落花落叶落果，严重的全株死亡。发生普遍，尤以江淮流域桃区发生较重。	(1)枝干。新梢病斑长椭圆形，暗绿色、水渍状，后渐变为褐色，边缘带红褐色，略凹陷。天气潮湿时，表面长有橘红色的小粒点，病梢向一侧弯曲。当病斑环绕枝条1周后，枝条上端枯死。(2)叶片。叶片以主脉为轴心，两边向正面卷曲，有的卷曲成管状，病斑近圆形或不规则形，淡褐色，后期病斑中部灰褐色或灰白色，有橘红色至黑色的小粒点，最后造成叶片穿孔。(3)果实。幼果果面呈暗褐色，发育停滞，萎缩硬化。稍大的果实发病，初生淡褐色水渍状斑点，逐渐扩大，呈红褐色，圆形或椭圆形，显著凹陷。后在病斑上有橘红色的小粒点长出。	(1)品种因素。一般早熟桃发病重，晚熟发病轻。(2)气候因素。桃树开花期及幼果期低温多雨，有利于发病。果实虚熟期，则以温暖、多云、多雾、高湿的环境发病严重。(3)栽培因素。生长过旺，种植过密，挂果超负均能导致发病重。","2024-03-31T03:34:40.034811Z"
744,"1","2024-03-31T03:36:10.336899Z",2210,"[{""start"":0,""end"":4,""text"":""桃实腐病"",""labels"":[""Disease""]},{""start"":5,""end"":20,""text"":""Peach fruit rot"",""labels"":[""English""]},{""start"":26,""end"":27,""text"":""桃"",""labels"":[""Part""]},{""start"":80,""end"":86,""text"":""边缘变为褐色"",""labels"":[""Symptom""]},{""start"":61,""end"":66,""text"":""表现为褐色"",""labels"":[""Symptom""]},{""start"":104,""end"":107,""text"":""发酵味"",""labels"":[""Symptom""]},{""start"":125,""end"":129,""text"":""失水干缩"",""labels"":[""Symptom""]},{""start"":141,""end"":146,""text"":""灰白色菌丝"",""labels"":[""Symptom""]}]",90.077,"桃实腐病	Peach fruit rot	桃实腐病是桃的一种常见病害，主要为害桃果实，影响桃产量和质量。	桃果实自顶部开始表现为褐色，并伴有水溃状，后迅速扩展，边缘变为褐色。感病部位的果肉也为黑色、且变软、有发酵味。感染初期病果看不到菌丝，后期果实常失水干缩形成僵果，表面布满浓密的灰白色菌丝。	桃园密闭不透风、树势弱发病重。","2024-03-31T03:36:10.336899Z"
745,"1","2024-03-31T03:39:11.407203Z",2211,"[{""start"":0,""end"":7,""text"":""桃细菌性穿孔病"",""labels"":[""Disease""]},{""start"":8,""end"":33,""text"":""Peach bacterial shot hole"",""labels"":[""English""]},{""start"":134,""end"":136,""text"":""枝干"",""labels"":[""Part""]},{""start"":310,""end"":312,""text"":""叶片"",""labels"":[""Part""]},{""start"":428,""end"":430,""text"":""果实"",""labels"":[""Part""]},{""start"":81,""end"":85,""text"":""叶片穿孔"",""labels"":[""Symptom""]},{""start"":143,""end"":148,""text"":""春季溃疡斑"",""labels"":[""Symptom""]},{""start"":179,""end"":189,""text"":""暗褐色水渍状小疱疹块"",""labels"":[""Symptom""]},{""start"":264,""end"":272,""text"":""水渍状紫褐色斑点"",""labels"":[""Symptom""]},{""start"":323,""end"":332,""text"":""淡褐色水渍状小斑点"",""labels"":[""Symptom""]},{""start"":357,""end"":366,""text"":""紫褐色至黑褐色圆形"",""labels"":[""Symptom""]},{""start"":367,""end"":373,""text"":""不规则形病斑"",""labels"":[""Symptom""]},{""start"":374,""end"":379,""text"":""边缘角质化"",""labels"":[""Symptom""]},{""start"":383,""end"":391,""text"":""水渍状黄绿色晕环"",""labels"":[""Symptom""]},{""start"":433,""end"":441,""text"":""褐色水渍状小圆斑"",""labels"":[""Symptom""]},{""start"":452,""end"":457,""text"":""中央稍凹陷"",""labels"":[""Symptom""]},{""start"":458,""end"":463,""text"":""边缘水渍状"",""labels"":[""Symptom""]},{""start"":476,""end"":484,""text"":""黄白色粘质分泌物"",""labels"":[""Symptom""]},{""start"":507,""end"":513,""text"":""不规则大裂纹"",""labels"":[""Symptom""]},{""start"":582,""end"":586,""text"":""果园郁闭"",""labels"":[""Condition""]},{""start"":587,""end"":591,""text"":""排水不良"",""labels"":[""Condition""]},{""start"":592,""end"":598,""text"":""土壤瘠薄板结"",""labels"":[""Condition""]},{""start"":54,""end"":56,""text"":""桃树"",""labels"":[""Part""]}]",180.858,"桃细菌性穿孔病	Peach bacterial shot hole	桃细菌性穿孔病在我国各桃产区均有发生，是桃树的主要病害。为害性大，在多雨年份或多雨地区，常造成叶片穿孔，引起大量早期落叶和枝梢枯死，影响果实正常生长或花芽分化发育不良，引起落花落果和品质变劣。	(1)枝干。有2种病斑。春季溃疡斑。发生在前1年夏季已被侵染的枝条上。春季新叶出现时，枝梢上形成暗褐色水渍状小疱疹块，直径约2mm，后扩展长达1～10cm，但宽度不超过枝条直径的1/2。春末病斑表皮破裂，病原溢出，开始蔓延。夏季溃疡斑。多于夏末发生，在当年嫩枝上产生水渍状紫褐色斑点，圆形，中央凹陷，最后皮层纵裂后溃疡，病斑不易扩展，病斑多时枝条枯死。(2)叶片。初在叶背近叶脉处产生淡褐色水渍状小斑点，后叶面也出现，多在叶尖或叶缘散生。病斑扩大后成为紫褐色至黑褐色圆形或不规则形病斑，边缘角质化，周围有水渍状黄绿色晕环，最后病斑干枯，病健交界处产生一圈裂纹，病斑中央组织脱落而形成穿孔。(3)果实。初为褐色水渍状小圆斑，后扩大，变为暗紫色，中央稍凹陷，边缘水渍状。天气潮湿时，病斑上常出现黄白色粘质分泌物。干燥时病斑上或其周围常发生小裂纹，严重时发生不规则大裂纹。但此病只限于果实表皮发病。	(1)品种因素。晚熟品种发病重。(2)气候因素。温度适宜，雨水频繁或多雾、重雾季节，发病重。(3)栽培因素。果园郁闭、排水不良、土壤瘠薄板结、缺肥或偏施氮肥都会致使发病较重。","2024-03-31T03:39:11.407203Z"
746,"1","2024-03-31T04:36:49.157154Z",2212,"[{""start"":0,""end"":4,""text"":""桃白粉病"",""labels"":[""Disease""]},{""start"":5,""end"":25,""text"":""Peach powdery mildew"",""labels"":[""English""]},{""start"":72,""end"":76,""text"":""褐色斑点"",""labels"":[""Symptom""]},{""start"":88,""end"":90,""text"":""枝干"",""labels"":[""Part""]},{""start"":122,""end"":133,""text"":""近圆形或不定形白色霉点"",""labels"":[""Symptom""]},{""start"":145,""end"":149,""text"":""白色粉斑"",""labels"":[""Symptom""]},{""start"":197,""end"":199,""text"":""果实"",""labels"":[""Part""]},{""start"":109,""end"":111,""text"":""叶片"",""labels"":[""Part""]},{""start"":101,""end"":105,""text"":""白色菌丝"",""labels"":[""Symptom""]},{""start"":209,""end"":213,""text"":""白色圆形"",""labels"":[""Symptom""]},{""start"":214,""end"":222,""text"":""不规则形的菌丝丛"",""labels"":[""Symptom""]},{""start"":239,""end"":244,""text"":""浅褐色病斑"",""labels"":[""Symptom""]},{""start"":245,""end"":251,""text"":""后病斑稍凹陷"",""labels"":[""Symptom""]}]",3457.527,"桃白粉病	Peach powdery mildew	桃白粉病在各地普遍发生。入夏以后，桃白粉病会引起早期落叶，对树势无大的影响。果实发病时可引起褐色斑点，重者果实变形。	(1)枝干。发病新梢在老化前出现白色菌丝。(2)叶片。9月份以后，叶片初现近圆形或不定形白色霉点，后霉点逐渐扩大，发展为白色粉斑。粉斑可互相连合为斑块，严重时叶片大部分乃至全部为白粉状物所覆盖。发病叶片褪黄，干枯脱落。(3)果实。果实5～6月份出现白色圆形或不规则形的菌丝丛，粉状，接着表皮附近组织枯死，形成浅褐色病斑，后病斑稍凹陷，硬化。	","2024-03-31T04:36:49.157154Z"
747,"1","2024-03-31T04:40:44.912664Z",2213,"[{""start"":0,""end"":9,""text"":""桃树非侵染性流胶病"",""labels"":[""Disease""]},{""start"":10,""end"":24,""text"":""Peach gummosis"",""labels"":[""English""]},{""start"":92,""end"":94,""text"":""枝干"",""labels"":[""Part""]},{""start"":224,""end"":226,""text"":""叶片"",""labels"":[""Part""]},{""start"":238,""end"":240,""text"":""果实"",""labels"":[""Part""]},{""start"":227,""end"":231,""text"":""叶片变黄"",""labels"":[""Symptom""]},{""start"":247,""end"":251,""text"":""黄色胶质"",""labels"":[""Symptom""]},{""start"":257,""end"":261,""text"":""病部硬化"",""labels"":[""Symptom""]},{""start"":126,""end"":133,""text"":""半透明黄色树胶"",""labels"":[""Symptom""]},{""start"":165,""end"":169,""text"":""呈胶冻状"",""labels"":[""Symptom""]},{""start"":175,""end"":182,""text"":""红褐色至茶褐色"",""labels"":[""Symptom""]},{""start"":394,""end"":398,""text"":""偶降暴雨"",""labels"":[""Condition""]},{""start"":502,""end"":506,""text"":""栽植过深"",""labels"":[""Condition""]},{""start"":507,""end"":511,""text"":""土壤板结"",""labels"":[""Condition""]},{""start"":512,""end"":516,""text"":""土壤偏碱"",""labels"":[""Condition""]},{""start"":517,""end"":521,""text"":""地势低洼"",""labels"":[""Condition""]},{""start"":528,""end"":532,""text"":""施肥不当"",""labels"":[""Condition""]}]",235.516,"桃树非侵染性流胶病	Peach gummosis	桃树非侵染性流胶病是一种生理性病害，各桃产区均有发生。植株流胶过多，会严重削弱树势，重者会引起死枝、死树，是很值得注意的问题。	(1)枝干。主干和主枝受害初期，病部稍肿胀，早春树液开始流动时，从病部流出半透明黄色树胶，尤其雨后流胶现象更为严重。流出的树胶与空气接触后，变为红褐色，呈胶冻状，干燥后变为红褐色至茶褐色的坚硬胶块。病部易被腐生菌侵染，使皮层和木质部变褐腐烂，严重时枝干或全株枯死。(2)叶片。叶片变黄、变小。(3)果实。由果核内分泌黄色胶质，溢出果面，病部硬化，严重时龟裂，不能生长发育，无食用价值。病理解剖病枝皮层细胞之间胶化是组织明显的病变。在初生木质部则形成胶腔，胶腔内的游离细胞不含淀粉。由于酶的作用，胞间膜及细胞内含物溶解。寄主组织形成胶物质，它是次生现象。	(1)环境因素。一般4～10月间，雨季、特别是长期干旱后偶降暴雨，流胶病严重。(2)寄主抗性。树龄大的桃树流胶严重。(3)栽培因素。各种原因造成的伤口多，或修剪量过大，造成根冠失调都易发病；桃树嫁接在杏树砧木上病重，用矮化砧比乔化砧流胶病重，嫁接部位高的比嫁接部位低的重；栽植过深、土壤板结、土壤偏碱、地势低洼、病虫危害重、施肥不当、负载量过大、枝条不充实都易引发流胶病。","2024-03-31T04:40:44.912664Z"
748,"1","2024-03-31T05:03:41.493543Z",2214,"[{""start"":0,""end"":8,""text"":""桃树侵染性流胶病"",""labels"":[""Disease""]},{""start"":9,""end"":42,""text"":""Peachtree Botryosphaeria gummosis"",""labels"":[""English""]},{""start"":65,""end"":67,""text"":""枝干"",""labels"":[""Part""]},{""start"":288,""end"":290,""text"":""果实"",""labels"":[""Part""]},{""start"":98,""end"":104,""text"":""稍隆起的疤斑"",""labels"":[""Symptom""]},{""start"":222,""end"":231,""text"":""木质部表面亦变褐色"",""labels"":[""Symptom""]},{""start"":295,""end"":301,""text"":""分泌黄色胶质"",""labels"":[""Symptom""]},{""start"":326,""end"":330,""text"":""全树衰弱"",""labels"":[""Symptom""]},{""start"":320,""end"":322,""text"":""植株"",""labels"":[""Part""]},{""start"":307,""end"":311,""text"":""病部硬化"",""labels"":[""Symptom""]},{""start"":434,""end"":438,""text"":""土质瘠薄"",""labels"":[""Condition""]},{""start"":439,""end"":443,""text"":""肥水不足"",""labels"":[""Condition""]},{""start"":444,""end"":448,""text"":""负载量大"",""labels"":[""Condition""]}]",1376.357,"桃树侵染性流胶病	Peachtree Botryosphaeria gummosis	桃树侵染性流胶病分布广泛，发生普遍。	(1)枝干。有皮孔流胶和伤口流胶2种类型。皮孔流胶初期出现以皮孔为中心的稍隆起的疤斑；随后疤斑逐渐扩大和隆起，大小不等(直径5～13mm，高4～10mm )；最后疤斑破裂，一般从疤斑中央溢出胶液，胶液初呈无色透明体，凝结后渐变红褐色。疤斑潮湿时触摸质感柔软，干燥时变硬。剖开疤斑，可见其皮层变褐坏死，皮层下充满粘稠胶液，木质部表面亦变褐色。伤口流胶主要指果实、枝干等出现虫口、裂口、机械伤口后，随即在伤口边缘出现流胶，胶液特征及其变化同皮孔流胶。(2)果实。由果核内分泌黄色胶质，溢出果面，病部硬化，有时龟裂。(3)植株。病重时全树衰弱，最后枯死。	(1)时期。一年中有2个发病高峰期，分别是5月下旬至6月上旬，8月上旬至9月上旬。(2)品种。黄桃系统较白桃系统易感病。(2)气候因素。从4月份开始，只要有降雨过程就会释放孢子。(3)栽培因素。土质瘠薄，肥水不足，负载量大，均可诱发该病。","2024-03-31T05:03:41.493543Z"
749,"1","2024-03-31T05:48:07.466295Z",2215,"[{""start"":0,""end"":4,""text"":""桃煤污病"",""labels"":[""Disease""]},{""start"":5,""end"":28,""text"":""Peach tree sooty blotch"",""labels"":[""English""]},{""start"":51,""end"":53,""text"":""枝干"",""labels"":[""Part""]},{""start"":94,""end"":96,""text"":""叶片"",""labels"":[""Part""]},{""start"":149,""end"":151,""text"":""果实"",""labels"":[""Part""]},{""start"":59,""end"":64,""text"":""污褐色圆形"",""labels"":[""Symptom""]},{""start"":65,""end"":71,""text"":""不规则形霉点"",""labels"":[""Symptom""]},{""start"":75,""end"":82,""text"":""煤烟状黑色霉层"",""labels"":[""Symptom""]},{""start"":103,""end"":108,""text"":""灰褐色污斑"",""labels"":[""Symptom""]},{""start"":34,""end"":36,""text"":""桃树"",""labels"":[""Crops""]},{""start"":114,""end"":118,""text"":""黑色霉层"",""labels"":[""Symptom""]},{""start"":119,""end"":124,""text"":""黑色煤粉层"",""labels"":[""Symptom""]},{""start"":157,""end"":163,""text"":""黑色煤烟状物"",""labels"":[""Symptom""]}]",2665.743,"桃煤污病	Peach tree sooty blotch	桃煤污病是桃树常见的表面滋生性病害。	(1)枝干。被害处初现污褐色圆形或不规则形霉点，后形成煤烟状黑色霉层，部分或布满枝条。(2)叶片。叶片正面产生灰褐色污斑，后逐渐转为黑色霉层或黑色煤粉层，这是是该病的重要特征。严重时叶片提早脱落。(3)果实。表面则布满黑色煤烟状物，严重降低果品价值。	湿度大、通风透光差以及蚜虫等刺吸式口器昆虫多的桃园往往发病重。主要是介壳虫类的影响，以龟蜡介为主。因其繁殖量大，产生的排泄物多，且自接附着在果实表而，形成煤污状残留用清水难以清洗。","2024-03-31T05:48:07.466295Z"
