Entity,English entity
Ïã½¶¹Ú¸¯²¡,Banana crown rot
Ïã½¶ºÚ´øÏó¼×,Banana stem borer weevil
Ğ±ÎÆÒ¹¶ê,Cotton leaf worm£¬Common cutworm£¬Cluster caterpillar£¬Tobacco semi-looper
Ïã½¶Åªµû,Banana leaf skipper
²İİ®¿İÎ®²¡,Strawberry blight
²İİ®¸ù¸¯²¡,Strawberry root rot
²İİ®Ì¿¾Ò²¡,Strawberry Anthracnose
²İİ®ÉßÑÛ²¡,nan
²İİ®°×·Û²¡,Strawberry powdery mildew
²İİ®ºÖ°ß²¡,Strawberry brown spot
²İİ®»ÒÃ¹²¡,Strawberry gray mold
²İİ®Çà¿İ²¡,Strawberry bacterial wilt
²İİ®Ï¸¾úĞÔÒ¶°ß²¡,Strawberry angular leaf spot
²İİ®²¡¶¾²¡,Strawberry virus disease
²İİ®»ûĞÎ¹û,Strawberry irregular fruit
²İİ®È±ËØÖ¢,nan
²İİ®VĞÍºÖ°ß²¡,Gnomonia fructicola (Arnaud) Fall
²İİ®(Ë¿ºË¾ú)Ñ¿¿İ²¡,nan
²İİ®(ÖÕ¼«¸¯Ã¹)ÀÃ¹û²¡,nan
²İİ®¸ï¸¯²¡,Strawberry leather rot
²İİ®»Ò°ß²¡,Strawberry Phyllosticta leaf spot
²İİ®Á­æßÃ¹¹û¸¯²¡,nan
²İİ®ÂÖ°ß²¡,nan
ÌÒÑÁ,Green Peach aphid
ÂÜ²·ÑÁ,turnip aphid
Ğ¡µØÀÏ»¢,Black cutworm
¶«·½ò÷òÁ,African mole cricket
òÓó©,grub
Ôæ³ßó¶,Zizyphus geometrid
»Æ´Ì¶ê,Oriental moth
ÔæŞÈ´Ì¶ê,nan
ÔæÌÒÁùµãÌì¶ê,Peach hornworm
ÌÒĞ¡Ê³ĞÄ³æ,Peach fruit borer
ĞÇÌìÅ£,Mulberry white-spotted longicorn
ÀæÔ²ò»,San Jose scale
²İÂÄò»,Giant mealy bug
ÈÕ±¾¹êÀ¯ò»,Japanese wax scale
¿µÊÏ·Ûò»,Comstock mealy bug
Ôæ±ÚÊ­,nan
ºÚÈŞ½ğ¹ê×Ó,Smaller velvety chafer
°Ëµã¹ã³áÀ¯²õ,nan
ÊÁ·è²¡,Persimmon witches broom
ÊÁÌ¿¾Ò²¡,Kaki Persimmon anthracnose
ÊÁ»ÒÃ¹²¡,Persimmon gray mold
ÊÁ½Ç°ß²¡,Kaki Persimmon angular spot
ÊÁÔ²°ß²¡,Persimmon leaf spot
ÊÁºìÒ¶¿İ²¡,nan
ÊÁºÚĞÇ²¡,Persimmon scab
ÊÁ¸É¿İ²¡,Persimmon canker
ÊÁ°×ÎÆÓğ²¡,Persimmon white root rot
ÊÁµÙ³æ,Persimm fruit worm
ÊÁĞÇ³ßó¶,Large black-spotted geometrid
Îè¶¾¶ê,Gypsy moth
ÕÛ´ø»Æ¶¾¶ê,Oriental tussock moth
ºÖµã·ÛµÆ¶ê,nan
ÊÁĞ¡Ò¶²õ,Red-maculated leafhopper
ÊÁÈŞò»,Persimmon mealy bug
ÊÁ³¤Ãà·Ûò»,Elongate cottony scale
ÊÁÉÒÓ¥Ò¹¶ê,nan
Æ»¹ûÉÒÒ¹¶ê,nan
Ä¾˜÷³ßó¶,Walnut geometrid
ºÚÔ²½Ç²õ,Globular treehopper
Í­ÂÌÀö½ğ¹ê,Blue chafer
Ê¯Áñ¸É¸¯²¡,Pomegranate dry rot
Ê¯ÁñºÚ°ß²¡,Pomegranate leaf spot
Ê¯Áñ¸ù½áÏß³æ²¡,Pomegranate root£­knot nematode disease
Ê¯Áñ½íÒ¹¶ê,Thick-legged moth
´óËò¶ê,Cotton bagworm
Ê¯Áñ¾¥´°¶ê,nan
Ê¯Áñ´¯ğè²¡,pomegranate stem scab
Ê¯ÁñÁÑ¹û,nan
ÌÒÖûÃø,"yellow peach moth£¬Peach pyralid moth,cone moth"
éË²Ï¶ê,Philosamia cynthia
Ê¯ÁñÈŞò»,Grape myrtle scale
ÂéÆ¤òí,Yellow marmorated stink bug
¸ÌéÙ´¯ğè²¡,Citrus scab
¸ÌéÙÖ¬µã»Æ°ß²¡,Greasy yellow spot of citrus
¸ÌéÙÌ¿¾Ò²¡,Citrus anthracnose
¸ÌéÙÁÑÆ¤²¡,Citrus exocortis
¸ÌéÙÒßÃ¹²¡,Citrus brown rot
¸ÌéÙÃºÎÛ²¡,Citrus sooty mold
¸ÌéÙ»ÆÁú²¡,Citrus yellow shoot
¸ÌéÙÀ£Ññ²¡,Citrus canker
¸ÌéÙË¥ÍË²¡,Citrus tristeza virus
¸ÌéÙ³àÒÂ²¡,Citrus pink disease
¸ÌéÙºÚ¸¯²¡,Citrus black rot
¸ÌéÙÊ÷Ö¬²¡,Citrus melanose
×ìºøÒ¹¶ê,fruit-piercing moth
Äñ×ìºøÒ¹¶ê,fruit£­piercing moth
¸ÌéÙ»¨ÀÙÇù,Citrus blossom midge
