number,Chinese entity name,entity binomial scientific name,Chinese region,English region,Chinese relation,English relation
1,香蕉黑带象甲,Odoiporus longicollis,广东,Guangdong,主要发生地,RegionIs
2,香蕉黑带象甲,Odoiporus longicollis,广西,Guangxi,主要发生地,RegionIs
3,香蕉黑带象甲,Odoiporus longicollis,贵州,Guizhou,主要发生地,RegionIs
4,香蕉黑带象甲,Odoiporus longicollis,福建,Fujian,主要发生地,RegionIs
5,香蕉黑带象甲,Odoiporus longicollis,台湾,Taiwan,主要发生地,RegionIs
6,香蕉黑带象甲,Odoiporus longicollis,海南,Hainan,主要发生地,RegionIs
7,枣壁虱,Eriophyes zizyphagus,河北,Hebei,主要发生地,RegionIs
8,枣壁虱,Eriophyes zizyphagus,山东,Shandong,主要发生地,RegionIs
9,柿小叶蝉,Erythroneura sp.,河北,Hebei,主要发生地,RegionIs
10,柿小叶蝉,Erythroneura sp.,河南,Henan,主要发生地,RegionIs
11,柿小叶蝉,Erythroneura sp.,山东,Shandong,主要发生地,RegionIs
12,柿小叶蝉,Erythroneura sp.,山西,Shanxi,主要发生地,RegionIs
13,柿小叶蝉,Erythroneura sp.,江苏,Jiangsu,主要发生地,RegionIs
14,柿小叶蝉,Erythroneura sp.,安徽,Anhui,主要发生地,RegionIs
15,柿小叶蝉,Erythroneura sp.,浙江,Zhejiang,主要发生地,RegionIs
16,柿小叶蝉,Erythroneura sp.,四川,Sichuan,主要发生地,RegionIs
17,樗蚕蛾,Philosamia cynthia,东北,Northeast,主要发生地,RegionIs
18,樗蚕蛾,Philosamia cynthia,中南,Central South,主要发生地,RegionIs
19,樗蚕蛾,Philosamia cynthia,山东,Shandong,主要发生地,RegionIs
20,樗蚕蛾,Philosamia cynthia,北京,Beijing,主要发生地,RegionIs
21,樗蚕蛾,Philosamia cynthia,河北,Hebei,主要发生地,RegionIs
22,樗蚕蛾,Philosamia cynthia,河南,Henan,主要发生地,RegionIs
23,樗蚕蛾,Philosamia cynthia,山西,Shanxi,主要发生地,RegionIs
24,樗蚕蛾,Philosamia cynthia,江苏,Jiangsu,主要发生地,RegionIs
25,樗蚕蛾,Philosamia cynthia,浙江,Zhejiang,主要发生地,RegionIs
26,樗蚕蛾,Philosamia cynthia,福建,Fujian,主要发生地,RegionIs
27,樗蚕蛾,Philosamia cynthia,台湾,Taiwan,主要发生地,RegionIs
28,樗蚕蛾,Philosamia cynthia,四川,Sichuan,主要发生地,RegionIs
29,柑橘溃疡病,Xanthomonas citri subsp. citri,福建,Fujian,主要发生地,RegionIs
30,柑橘溃疡病,Xanthomonas citri subsp. citri,广东,Guangdong,主要发生地,RegionIs
31,柑橘溃疡病,Xanthomonas citri subsp. citri,广西,Guangxi,主要发生地,RegionIs
32,柑橘溃疡病,Xanthomonas citri subsp. citri,江西,Jiangxi,主要发生地,RegionIs
33,柑橘溃疡病,Xanthomonas citri subsp. citri,浙江,Zhejiang,主要发生地,RegionIs
34,柑橘溃疡病,Xanthomonas citri subsp. citri,湖南,Hunan,主要发生地,RegionIs
35,柑橘溃疡病,Xanthomonas citri subsp. citri,湖北,Hubei,主要发生地,RegionIs
36,柑橘溃疡病,Xanthomonas citri subsp. citri,四川,Sichuan,主要发生地,RegionIs
37,柑橘溃疡病,Xanthomonas citri subsp. citri,贵州,Guizhou,主要发生地,RegionIs
38,柑橘溃疡病,Xanthomonas citri subsp. citri,台湾,Taiwan,主要发生地,RegionIs
39,鸟嘴壶夜蛾,Oraesia excavata,陕西,Shaanxi,主要发生地,RegionIs
40,鸟嘴壶夜蛾,Oraesia excavata,浙江,Zhejiang,主要发生地,RegionIs
41,鸟嘴壶夜蛾,Oraesia excavata,广东,Guangdong,主要发生地,RegionIs
42,鸟嘴壶夜蛾,Oraesia excavata,台湾,Taiwan,主要发生地,RegionIs
43,大绿蝽,Rhynchocoris humeralis,江苏,Jiangsu,主要发生地,RegionIs
44,大绿蝽,Rhynchocoris humeralis,浙江,Zhejiang,主要发生地,RegionIs
45,大绿蝽,Rhynchocoris humeralis,湖北,Hubei,主要发生地,RegionIs
46,大绿蝽,Rhynchocoris humeralis,江西,Jiangxi,主要发生地,RegionIs
47,大绿蝽,Rhynchocoris humeralis,湖南,Hunan,主要发生地,RegionIs
48,大绿蝽,Rhynchocoris humeralis,福建,Fujian,主要发生地,RegionIs
49,大绿蝽,Rhynchocoris humeralis,台湾,Taiwan,主要发生地,RegionIs
50,大绿蝽,Rhynchocoris humeralis,广东,Guangdong,主要发生地,RegionIs
51,大绿蝽,Rhynchocoris humeralis,广西,Guangxi,主要发生地,RegionIs
52,大绿蝽,Rhynchocoris humeralis,贵州,Guizhou,主要发生地,RegionIs
53,大绿蝽,Rhynchocoris humeralis,四川,Sichuan,主要发生地,RegionIs
54,柑橘粉虱,Dialeurodes citri,北京,Beijing,主要发生地,RegionIs
55,柑橘粉虱,Dialeurodes citri,河北,Hebei,主要发生地,RegionIs
56,柑橘粉虱,Dialeurodes citri,山东,Shandong,主要发生地,RegionIs
57,柑橘粉虱,Dialeurodes citri,安徽,Anhui,主要发生地,RegionIs
58,柑橘粉虱,Dialeurodes citri,江苏,Jiangsu,主要发生地,RegionIs
59,柑橘粉虱,Dialeurodes citri,上海,Shanghai,主要发生地,RegionIs
60,柑橘粉虱,Dialeurodes citri,浙江,Zhejiang,主要发生地,RegionIs
61,柑橘粉虱,Dialeurodes citri,湖北,Hubei,主要发生地,RegionIs
62,柑橘粉虱,Dialeurodes citri,湖南,Hunan,主要发生地,RegionIs
63,柑橘粉虱,Dialeurodes citri,福建,Fujian,主要发生地,RegionIs
