number,Chinese entity name,entity binomial scientific name,Chinese crop name,English crop name,Chinese relation,English relation
1,香蕉黑带象甲,Cosmopolites sordidus,蕉麻,Abaca,危害,Damage
2,香蕉弄蝶,Erionota torus,香蕉,banana,危害,Damage
3,香蕉弄蝶,Erionota torus,芭蕉,banana,危害,Damage
4,草莓枯萎病,Fusarium oxysporum f. sp. fragariae,草莓,strawberry,危害,Damage
5,草莓根腐病,Phytophthora cactorum,草莓,strawberry,危害,Damage
6,草莓白粉病,Podosphaera aphanis,草莓,strawberry,危害,Damage
7,草莓褐斑病,Mycosphaerella fragariae,草莓,strawberry,危害,Damage
8,草莓灰霉病,Botrytis cinerea,草莓,strawberry,危害,Damage
9,草莓青枯病,Ralstonia solanacearum,草莓,strawberry,危害,Damage
10,草莓病毒病,SMYEV,草莓,strawberry,危害,Damage
11,桃蚜,Myzus persicae,树,Tree,危害,Damage
12,萝卜蚜,Lipaphis erysimi,萝卜,radish,危害,Damage
13,萝卜蚜,Lipaphis erysimi,白菜,Chinese cabbage,危害,Damage
14,萝卜蚜,Lipaphis erysimi,油菜,rape,危害,Damage
15,萝卜蚜,Lipaphis erysimi,十字花,Crucifer,危害,Damage
16,小地老虎,Agrotis ipsilon,豆类,Beans,危害,Damage
17,小地老虎,Agrotis ipsilon,茄果类,Solanum,危害,Damage
18,小地老虎,Agrotis ipsilon,瓜类,Melons,危害,Damage
19,小地老虎,Agrotis ipsilon,十字花科蔬菜,Cruciferous vegetables,危害,Damage
20,东方蝼蛄,Gryllotalpa orientalis,大豆,Soybean,危害,Damage
21,东方蝼蛄,Gryllotalpa orientalis,花生,peanut,危害,Damage
22,东方蝼蛄,Gryllotalpa orientalis,甘薯,sweet potato,危害,Damage
23,枣尺蠖,Chihuo zao,苹果,apple,危害,Damage
24,枣尺蠖,Chihuo zao,沙果,Crab apple,危害,Damage
25,黄刺蛾,Cnidocampa flavescens,苹果,apple,危害,Damage
26,黄刺蛾,Cnidocampa flavescens,樱桃,cherry,危害,Damage
27,黄刺蛾,Cnidocampa flavescens,山楂,hawthorn,危害,Damage
28,黄刺蛾,Cnidocampa flavescens,海棠,Begonia,危害,Damage
29,黄刺蛾,Cnidocampa flavescens,石榴,Pomegranate,危害,Damage
30,黄刺蛾,Cnidocampa flavescens,核桃,Walnut,危害,Damage
31,黄刺蛾,Cnidocampa flavescens,柑橘,Tangerine,危害,Damage
32,枣奕刺蛾,Iragoides conjuncta,核桃,Walnut,危害,Damage
33,枣奕刺蛾,Iragoides conjuncta,芒果,mango,危害,Damage
34,枣奕刺蛾,Iragoides conjuncta,苹果,apple,危害,Damage
35,枣桃六点天蛾,Marumba gaschkewitschi,樱桃,cherry,危害,Damage
36,枣桃六点天蛾,Marumba gaschkewitschi,苹果,apple,危害,Damage
37,枣桃六点天蛾,Marumba gaschkewitschi,葡萄,Grape,危害,Damage
38,枣桃六点天蛾,Marumba gaschkewitschi,海棠,Begonia,危害,Damage
39,枣桃六点天蛾,Marumba gaschkewitschi,枇杷,Loquat,危害,Damage
40,桃小食心虫,Carposina niponensis,苹果,apple,危害,Damage
41,星天牛,Anoplophora chinensis,柑橘,Tangerine,危害,Damage
42,星天牛,Anoplophora chinensis,无花果,Fig,危害,Damage
43,星天牛,Anoplophora chinensis,枇杷,Loquat,危害,Damage
44,星天牛,Anoplophora chinensis,苹果,apple,危害,Damage
45,星天牛,Anoplophora chinensis,樱桃,cherry,危害,Damage
46,星天牛,Anoplophora chinensis,核桃,Walnut,危害,Damage
47,草履蚧,Drosicha corpulenta,核桃,Walnut,危害,Damage
48,草履蚧,Drosicha corpulenta,苹果,apple,危害,Damage
49,草履蚧,Drosicha corpulenta,板栗,Chestnut,危害,Damage
50,日本龟蜡蚧,Ceroplastes japonicus,柑橘,Tangerine,危害,Damage
