number,Chinese entity name,entity binomial scientific name,Chinese part,English part,Chinese relation,English relation
1,草莓根腐病,Phytophthora fragariae,草莓,strawberry,危害部位,InflictHarmPart
2,草莓革腐病,Phytophthora fragariae,果实,fruit,危害部位,InflictHarmPart
3,草莓革腐病,Phytophthora fragariae,小苗,Seedling,危害部位,InflictHarmPart
4,柿疯病,Persimmon witches broom,枝干,Branches,危害部位,InflictHarmPart
5,柿炭疽病,Kaki Persimmon anthracnose,枝干,Branches,危害部位,InflictHarmPart
6,柿炭疽病,Kaki Persimmon anthracnose,叶片,blade,危害部位,InflictHarmPart
7,柿炭疽病,Kaki Persimmon anthracnose,果实,fruit,危害部位,InflictHarmPart
8,柿灰霉病,Botrytis cinerea,叶片,blade,危害部位,InflictHarmPart
9,柿灰霉病,Botrytis cinerea,果实,fruit,危害部位,InflictHarmPart
10,柿角斑病,Cercospora kaki,叶片,blade,危害部位,InflictHarmPart
11,柿角斑病,Cercospora kaki,果实,fruit,危害部位,InflictHarmPart
12,柿圆斑病,Mycosphaerella nawae,叶片,blade,危害部位,InflictHarmPart
13,柿圆斑病,Mycosphaerella nawae,果实,fruit,危害部位,InflictHarmPart
14,柿黑星病,Fusicladium kaki,枝干,Branches,危害部位,InflictHarmPart
15,柿黑星病,Fusicladium kaki,叶片,blade,危害部位,InflictHarmPart
16,柿黑星病,Fusicladium kaki,果实,fruit,危害部位,InflictHarmPart
17,石榴干腐病,Botryosphaeria dothidea,枝干,Branches,危害部位,InflictHarmPart
18,石榴干腐病,Botryosphaeria dothidea,花器,Flower vases,危害部位,InflictHarmPart
19,石榴干腐病,Botryosphaeria dothidea,果实,fruit,危害部位,InflictHarmPart
20,石榴黑斑病,Alternaria alternata,叶片,blade,危害部位,InflictHarmPart
21,柑橘疮痂病,Elsino? fawcettii,枝干,Branches,危害部位,InflictHarmPart
22,柑橘疮痂病,Elsino? fawcettii,叶片,blade,危害部位,InflictHarmPart
23,柑橘疮痂病,Elsino? fawcettii,花器,Flower vases,危害部位,InflictHarmPart
24,柑橘疮痂病,Elsino? fawcettii,果实,fruit,危害部位,InflictHarmPart
25,柑橘炭疽病,Colletotrichum gloeosporioides,叶片,blade,危害部位,InflictHarmPart
26,柑橘炭疽病,Colletotrichum gloeosporioides,枝干,Branches,危害部位,InflictHarmPart
27,柑橘炭疽病,Colletotrichum gloeosporioides,果实,fruit,危害部位,InflictHarmPart
28,柑橘裂皮病,Citrus exocortis viroid,枝干,Branches,危害部位,InflictHarmPart
29,柑橘裂皮病,Citrus exocortis viroid,叶片,blade,危害部位,InflictHarmPart
30,柑橘裂皮病,Citrus exocortis viroid,花器,Flower vases,危害部位,InflictHarmPart
31,柑橘裂皮病,Citrus exocortis viroid,果实,fruit,危害部位,InflictHarmPart
32,柑橘裂皮病,Citrus exocortis viroid,全株,Whole plant,危害部位,InflictHarmPart
33,柑橘黄龙病,Citrus exocortis viroid,根系,Root system,危害部位,InflictHarmPart
34,柑橘黄龙病,Citrus exocortis viroid,枝干,Branches,危害部位,InflictHarmPart
35,柑橘黄龙病,Citrus exocortis viroid,叶片,blade,危害部位,InflictHarmPart
36,柑橘黄龙病,Citrus exocortis viroid,果实,fruit,危害部位,InflictHarmPart
37,柑橘溃疡病,Xanthomonas citri subsp. citri,叶片,blade,危害部位,InflictHarmPart
38,柑橘溃疡病,Xanthomonas citri subsp. citri,枝梢,Branches,危害部位,InflictHarmPart
39,柑橘溃疡病,Xanthomonas citri subsp. citri,果实,fruit,危害部位,InflictHarmPart
40,柑橘树脂病,Diaporthe citri,枝干,Branches,危害部位,InflictHarmPart
41,柑橘树脂病,Diaporthe citri,叶片,blade,危害部位,InflictHarmPart
