number,Chinese entity name,entity binomial scientific name,tem,Chinese relation,English relation
1,草莓青枯病,Ralstonia solanacearum,22℃,温度为,TemperIs
2,草莓畸形果,Botrytis cinerea,0℃,温度为,TemperIs
3,柑橘始叶螨,Eotetranychus kankitus,18℃,温度为,TemperIs
4,葡萄拟茎点霉腐烂病,Botrytis cinerea,25℃,温度为,TemperIs
5,葡萄霜霉病,Plasmopara viticola,20℃,温度为,TemperIs
6,猕猴桃溃疡病,Pseudomonas syringae,0℃,温度为,TemperIs
7,山楂花腐病,Monilinia fructicola,25℃,温度为,TemperIs
8,香菇褐腐病,Monilinia spp.,20℃,温度为,TemperIs
9,可变粉孢霉,Alternaria alternata,20℃,温度为,TemperIs
10,胡桃肉状菌,Pestalotiopsis spp.,30℃,温度为,TemperIs
11,西瓜白绢病,Fusarium oxysporum,30℃,温度为,TemperIs
12,小地老虎,Agriotes lineatus,0℃,温度为,TemperIs
13,甜瓜炭疽病,Colletotrichum orbiculare,23℃,温度为,TemperIs
14,豌豆彩潜蝇,Liriomyza huidobrensis,22℃,温度为,TemperIs
15,豇豆荚螟,Maruca vitrata,28℃,温度为,TemperIs
16,扁豆锈病,Uromyces fabae,20℃,温度为,TemperIs
17,扁豆白绢病,Sclerotinia sclerotiorum,30℃,温度为,TemperIs
18,三点盲蝽,Cletus punctiger,25℃,温度为,TemperIs
19,亚洲玉米螟,Ostrinia furnacalis,25℃,温度为,TemperIs
20,蘑菇褐腐病,Verticillium spp.,25℃,温度为,TemperIs
21,菜豆灰霉病,Botrytis cinerea,20℃,温度为,TemperIs
22,菜豆锈病,Uromyces phaseoli,20℃,温度为,TemperIs
23,菜豆炭疽病,Colletotrichum lindemuthianum,17℃,温度为,TemperIs
24,菜豆菌核病,Sclerotinia sclerotiorum,15℃,温度为,TemperIs
25,毛豆褐斑病,Cercospora sojina,36℃,温度为,TemperIs
26,毛豆赤霉病,Fusarium graminearum,30℃,温度为,TemperIs
27,冬瓜病毒病,Cucumber mosaic virus,20℃,温度为,TemperIs
28,瓠瓜霜霉病,Pseudoperonospora cubensis,27℃,温度为,TemperIs
29,辣椒白绢病,Fusarium oxysporum,30℃,温度为,TemperIs
30,辣椒病毒病,Pepper veinal mottle virus,33℃,温度为,TemperIs
31,桃蚜,Myzus persicae,24℃,温度为,TemperIs
32,茄子炭疽病,Colletotrichum gloeosporioides,24℃,温度为,TemperIs
33,茄子白绢病,Sclerotinia sclerotiorum,30℃,温度为,TemperIs
34,黄瓜白绢病,Sclerotinia sclerotiorum,30℃,温度为,TemperIs
35,黄瓜病毒病,Cucumber mosaic virus,20℃,温度为,TemperIs
36,西葫芦黑星病,Alternaria cucumerina,20℃,温度为,TemperIs
37,茴香立枯病,Fusarium spp.,24℃,温度为,TemperIs
38,茼蒿立枯病,Fusarium solani,24℃,温度为,TemperIs
39,番茄晚疫病,Phytophthora infestans,24℃,温度为,TemperIs
40,番茄叶霉病,Leveillula taurica,22℃,温度为,TemperIs
41,番茄斑枯病,Alternaria solani,25℃,温度为,TemperIs
42,番茄细菌性斑疹病,Pseudomonas syringae,25℃,温度为,TemperIs
43,番茄炭疽病,Colletotrichum coccodes,24℃,温度为,TemperIs
44,番茄圆纹病,Fusarium oxysporum,21℃,温度为,TemperIs
45,番茄细菌性褐斑病,Xanthomonas campestris,25℃,温度为,TemperIs
46,菠菜株腐病,Fusarium oxysporum,24℃,温度为,TemperIs
47,桃蚜,Myzus persicae,24℃,温度为,TemperIs
48,芹菜灰霉病,Botrytis cinerea,20℃,温度为,TemperIs
49,芹菜菌核病,Sclerotinia sclerotiorum,15℃,温度为,TemperIs
50,莴笋病毒病,Lactuca virus,18℃,温度为,TemperIs
51,生菜病毒病,Lactuca virus,18℃,温度为,TemperIs
52,苋菜灰霉病,Botrytis cinerea,20℃,温度为,TemperIs
53,葡萄轮纹病,Phomopsis viticola,25℃,温度为,TemperIs
54,大猿叶甲,Acanthocinus aedilis,26℃,温度为,TemperIs
55,甘蓝灰霉病,Botrytis cinerea,20℃,温度为,TemperIs
56,芥蓝霜霉病,Peronospora parasitica,16℃,温度为,TemperIs
57,姜瘟病,Pythium spp.,20℃,温度为,TemperIs
58,姜腐烂病,Fusarium oxysporum,20℃,温度为,TemperIs
59,葱霜霉病,Peronospora destructor,15℃,温度为,TemperIs
60,桑白绢病,Fusarium spp.,20℃,温度为,TemperIs
61,萝卜白锈病,Albugo candida,10℃,温度为,TemperIs
62,茶芽枯病,Phytophthora capsici,15℃,温度为,TemperIs
